"NBa7we src","d4r55","RfnDt","RfnDt 2","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","dSlJg src","znYl0","dSlJg src 2","znYl0 2","Hzvxle","pkWtMe","nM6d2c","DZSIDd","wiI7pd 2","RfDO5c","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/AD_cMMTez0BUe1MnN6HIiN9Rx6mGtuEc898Yu7w1NNF_GGjdpj8=w36-h36-p-rp-mo-ba4-br100","vijayanandh gunaseelan","· 90 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a month ago","Taste wise as usual as like other Chipotle outlets. During my visit, the server was down and my card was not accepted, so I ended up buying less than what I actually wanted to eat. No bill was provided but they collected some amount from me …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMRbGhQH0vTjehpCDxAWoRjV-bXtnYrRsS7GW3ROy9kF0S8=w36-h36-p-rp-mo-ba4-br100","Julian Foster","· 113 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","8 months ago","The most disrespectful people I’ve ever met. There is no one in line, no one standing at the desk. I walk in to simply ask about my order that I placed ahead of time, and am completely ignored. I see my order sitting down on the table, but …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Share","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","","Like","6","","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMQnG8lOaVV6sDqb_uN0LzNddWU_ssB5oJDuU9159wCzTMg=w36-h36-p-rp-mo-ba5-br100","Sarah","· 116 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","6 months ago","We continue to order from this location because we are optimistic people who think that maybe the next time, it will be right. We order directly from chipotle. Sadly, it’s wrong every time. Most recently. I ordered double chicken, cheese, and fajita veggies. I received black beans and rice and a little cheese and chicken.","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Share","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","","Like","3","","","","",""
"https://lh3.googleusercontent.com/a/AAcHTtfVE712aATdbDjWg10SkQbMhNrN1gaRq2Ijl1x3gIP8=w36-h36-p-rp-mo-br100","M L","6 reviews","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","7 months ago","Horrible quality and portion sizes. Received this burrito from delivery within 20 minutes of ordering it yet was cold to the touch. There are much better Chipotles than this one. Do better","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Share","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","","Like","2","","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMT3fhFK0JHk_en74QUaoxgO0K6bxDiDfUjlJ3oFil_HAAQ=w36-h36-p-rp-mo-br100","Robby Kanyur","5 reviews","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","5 months ago","I'm generally a pretty understanding person, but I think this is the worst Chipotle location that I've visited in any city. Ingredients (especially rice) are generally undercooked and mobile orders are never ready on time. The last time I …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","Response from the owner","5 months ago","We would like the opportunity to follow up on this as soon as possible. Please contact us directly: https://www.chipotle.com/contact-us -Scott","",""
"https://lh3.googleusercontent.com/a/AAcHTtewvTksxTPUd8KiWQ6_Roe2474ZCKe4l5XLDW4HQoZshA=w36-h36-p-rp-mo-ba5-br100","Vidhi Mittal","· 148 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 months ago","I have got take away here a lot of times and in comparison to other Chipotle outlets in the area, the employees here are very frugal when it comes to any order I have taken for every single ingredient. The food portions here are way smaller than any other chipotle and this is for any time you visit, be it morning, evening or afternoon.","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","","","","",""
"https://lh3.googleusercontent.com/a/AAcHTtfa4_NwoZC45UhotipCHXwa13JnwZojg7b_2_Y-i2y4=w36-h36-p-rp-mo-br100","melissa griggs","4 reviews","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","Where is the owner for this franchise and how are they not making any changes to this establishment?  Scroll back through the reviews and this place has a 1 star rating- consistently- it’s dirty, the people don’t care, the pick up system is …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","","","","",""
"https://lh3.googleusercontent.com/a-/AD_cMMS4M7LrrQcsaNenB1laofxYJt8y2HDCuNUUHkfprn6P_gw=w36-h36-p-rp-mo-br100","Maria Elena","10 reviews","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","I ordered a burrito bowl
THE CHICKEN WAS BURNT
I even tried giving some to my cat and he rejected it and he LOVES chicken","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Share","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","","Like","3","","","","Service","Delivery"
"https://lh3.googleusercontent.com/a/AAcHTtfBdGofocCQ_kTjwYe3OAENWP2U-ST1gFqKMyO3ZW4n=w36-h36-p-rp-mo-br100","Pokuaa Nsiah","18 reviews","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","We ordered the bowl and burrito which was delivered to us through Ubereats. The burrito was the size of my palm and there was literally NO chicken in my bowl. This is my first time ordering at this location and this will be last.","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","","","","",""
"https://lh3.googleusercontent.com/a/AAcHTtfIVaCUWa3zW7dfvTbUWMOcJ9l23JIZ9IPAiwpfv-Gn=w36-h36-p-rp-mo-ba4-br100","Anish Shah","· 55 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","They have been consistent on the flavor.  However, they do not do a good job of keeping the counter top clean.  There's constantly a mess on the counter top, which is a turn off.","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","","","","","",""
