"NBa7we src","d4r55","RfnDt","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","dSlJg src","Hzvxle","pkWtMe","dSlJg src 2","znYl0","RfnDt 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/AD_cMMRcxDR1yWjBANddEBTOUxrMdEv-d_d2HKgfF9jZQA0y2l8p=w36-h36-p-rp-mo-br100","Jason Renacido","2 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 months ago","Ordered tacos, half way through found a dead lady bug in one and a dead fly in another. Shows they don’t wash their lettuce properly nor maintain cleanliness. The health inspector needs to pay them a visit","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","1","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","",""
"https://lh3.googleusercontent.com/a-/AD_cMMShrmfx8XVY2COsvmTtp7JZW6uGBGqhIFpckeq6GaMOYfyo=w36-h36-p-rp-mo-ba3-br100","Samantha Oxborough","· 34 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","6 months ago","I was probably the first customer of the day and  the service was great (calm, professional, and patient) and the food tastes delicious. As a person who has been a server, I know how hard it is to be 100% setup when you unlock the door-- very impressive!","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Local Guide","Like"
"https://lh3.googleusercontent.com/a-/AD_cMMRsltCBO1_srnbdVJxFVbyoYOzP4yLKU1eBfr_hhbMzuPg=w36-h36-p-rp-mo-ba3-br100","42 Keez","· 32 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a month ago","Place was a mess. I almost took a pic of the bathroom but that would've been unnecessary seeing as how almost every recent review of this place is a 1 or 2 star. Firstly, the guy who made my food the first time I went consistently put more …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Like","Local Guide","Share"
"https://lh3.googleusercontent.com/a/AAcHTteJORFsu5okYrbTnOotzZ2_Sm1OIRPaY4dxgsucqqVS=w36-h36-p-rp-mo-br100","Kristina","8 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","This might be the worst chipotle to exist. I’ve never experienced a friendly worker when going inside. Delivery? Forget about it. Your order will be entirely wrong. It’s apparently too difficult to simply read a receipt and give someone …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","","Like"
"https://lh3.googleusercontent.com/a-/AD_cMMTQvkKQiGCTX-_1-YsY5Kpk9I8UW2wQPlZ8MctfE1JrE972=w36-h36-p-rp-mo-br100","Roop Kumar Annavarapu","2 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","3 weeks ago","My family had worst experience at this Chipotle location. Staff is not friendly at all. My toddler want to use rest room on urgent basis & they already closed the rest rooms one hour before the store closing time. They don’t have any …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Like","","Share"
"https://lh3.googleusercontent.com/a-/AD_cMMQHN5hE6cY7PGmVHe8w8ji7HcuqU_Bvw2-LhIAdhMNZG_4=w36-h36-p-rp-mo-ba6-br100","D “Juanito” H","· 315 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a year ago","We have been coming to this location since it was opened.  In the last few months, and you can see from other recent reviews that not only the service has become nonexistent, the portion of the food also shrunk.  The last two visits, our …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","12","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Local Guide",""
"https://lh3.googleusercontent.com/a/AAcHTtfQELUj1Rsa82kmut9SpMWiEbGIwd2jupAjpDPegikj=w36-h36-p-rp-mo-br100","Luke Flaska","3 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a month ago","Food looks good but I got the smallest potion from any chipotle ever. I actually couldn’t believe it, the girl serving meat gave me maybe 5 pieces of chicken total. Going to a different location next time","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Like","","Share"
"https://lh3.googleusercontent.com/a-/AD_cMMQuSkGEf-5YlkLnCVeG1R9Nh-9TVYiKxS2CdgeVWEyLjHM=w36-h36-p-rp-mo-ba2-br100","Sam Shamroski","· 15 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","3 months ago","Service was fast and the chicken was good but that was about it. Chips were burned/over cooked, lettuce was on the warm side and didn’t look the best. Could have been a lot better.","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Like","Local Guide","Share"
"https://lh3.googleusercontent.com/a-/AD_cMMQTArEdzdK-C8b38K-8dsRc5ELLYtXVt8xdAnBRFTWNSQ=w36-h36-p-rp-mo-ba3-br100","Paul Woods","· 21 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a year ago","Good transportation and food. The customer service was terrible. I was standing line and I did not get any service. So I stand in the pick up line and the worker finally saw me when two other customers came in. …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","7","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Local Guide",""
"https://lh3.googleusercontent.com/a-/AD_cMMQT-5dvOD8K3DqZP7HtwFe9OPuRbmR8CVb3BPJIeBaw04o=w36-h36-p-rp-mo-ba4-br100","Scott E","· 108 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","7 months ago","AGAIN the fajita vegetables are so overcooked they are totally mush! Also I get attitude from the servers whenever I ask for them to please drain the beans and vegetables before putting them into my bowl. It's supposed to be a burrito bowl …","More","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Like","2","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Local Guide",""
